"Интервал дат визита","Визиты","Посетители","Просмотры","Доля новых посетителей","Отказы","Глубина просмотра","Время на сайте"
"Итого и средние","30229","24730","43593","0.9794581479983825","0.7343941248470012","1.442092030831321","00:01:30"
"2025-12-31","621","535","1023","0.8859813084112149","0.6409017713365539","1.6473429951690821","00:03:08"
"2025-12-01","561","531","704","0.9322033898305083","0.8520499108734403","1.2549019607843137","00:00:35"
"2025-10-10","505","430","821","0.8651162790697674","0.6752475247524753","1.6257425742574256","00:02:17"
"2025-12-02","490","467","576","0.9357601713062098","0.8795918367346939","1.1755102040816328","00:00:42"
"2025-11-22","418","377","541","0.883289124668435","0.7822966507177034","1.2942583732057416","00:00:52"
"2025-11-25","411","380","482","0.9131578947368421","0.8515815085158152","1.1727493917274938","00:00:51"
"2025-11-26","408","387","483","0.9198966408268734","0.8553921568627451","1.1838235294117647","00:00:35"
"2025-12-03","399","375","515","0.9333333333333332","0.8446115288220551","1.2907268170426065","00:00:49"
"2025-11-27","382","366","474","0.9234972677595629","0.8403141361256544","1.2408376963350785","00:01:11"
"2025-11-24","377","344","459","0.8895348837209301","0.8275862068965517","1.2175066312997347","00:00:48"
"2025-11-23","368","333","442","0.8768768768768769","0.842391304347826","1.201086956521739","00:00:50"
"2025-12-30","364","314","528","0.8630573248407643","0.7060439560439561","1.4505494505494505","00:01:38"
"2026-01-04","361","331","727","0.8851963746223565","0.7506925207756232","2.0138504155124655","00:01:49"
"2025-10-05","332","300","518","0.8766666666666667","0.6506024096385542","1.5602409638554218","00:01:48"
"2025-10-25","330","306","472","0.9248366013071896","0.7454545454545455","1.4303030303030304","00:01:17"
"2025-10-12","326","289","522","0.8269896193771626","0.6809815950920245","1.6012269938650308","00:02:04"
"2026-01-03","326","298","461","0.8288590604026845","0.696319018404908","1.4141104294478528","00:01:55"
"2026-01-07","325","295","463","0.8677966101694915","0.7476923076923075","1.4246153846153846","00:01:42"
"2025-10-09","324","292","464","0.8698630136986302","0.7037037037037037","1.4320987654320987","00:01:53"
"2025-10-04","312","290","462","0.8724137931034482","0.6794871794871795","1.4807692307692308","00:01:44"
"2025-11-01","310","289","457","0.8546712802768167","0.7322580645161291","1.4741935483870967","00:01:26"
"2025-10-29","307","290","460","0.8551724137931035","0.7166123778501629","1.498371335504886","00:01:47"
"2026-01-05","301","270","425","0.8592592592592593","0.7242524916943522","1.4119601328903655","00:01:11"
"2026-01-01","300","277","435","0.8050541516245489","0.6966666666666668","1.45","00:01:55"
"2026-01-02","300","277","443","0.8628158844765343","0.6766666666666665","1.4766666666666666","00:02:12"
"2025-12-12","298","272","411","0.8860294117647058","0.7416107382550335","1.3791946308724832","00:01:02"
"2026-01-12","298","273","451","0.8608058608058609","0.7013422818791946","1.5134228187919463","00:01:15"
"2026-01-09","293","268","443","0.8619402985074626","0.6860068259385667","1.5119453924914676","00:01:33"
"2025-10-24","292","274","462","0.864963503649635","0.6575342465753424","1.582191780821918","00:02:05"
"2025-10-11","291","264","437","0.821969696969697","0.7010309278350515","1.5017182130584192","00:01:49"
"2025-10-28","290","263","438","0.8631178707224335","0.7310344827586206","1.5103448275862068","00:02:01"
"2025-10-31","290","268","393","0.914179104477612","0.7793103448275862","1.3551724137931034","00:01:16"
"2025-11-13","290","260","410","0.8576923076923076","0.7241379310344827","1.4137931034482758","00:01:52"
"2026-01-06","283","266","395","0.8646616541353382","0.6925795053003534","1.3957597173144876","00:01:00"
"2025-12-13","282","266","427","0.830827067669173","0.7198581560283688","1.5141843971631206","00:01:28"
"2025-10-01","278","251","427","0.848605577689243","0.7230215827338129","1.5359712230215827","00:01:37"
"2025-10-30","277","259","387","0.8957528957528957","0.779783393501805","1.3971119133574008","00:01:32"
"2025-10-06","276","252","448","0.8492063492063493","0.6594202898550725","1.6231884057971016","00:02:12"
"2025-10-23","276","259","448","0.8803088803088803","0.673913043478261","1.6231884057971016","00:01:48"
"2025-10-19","274","250","391","0.8640000000000001","0.7299270072992701","1.427007299270073","00:01:55"
"2025-12-28","272","252","397","0.8650793650793651","0.7242647058823529","1.4595588235294117","00:01:48"
"2025-12-29","269","246","376","0.8658536585365852","0.6765799256505577","1.3977695167286246","00:02:00"
"2025-10-26","267","246","447","0.8658536585365852","0.651685393258427","1.6741573033707866","00:02:30"
"2025-11-30","266","243","399","0.9300411522633745","0.6578947368421053","1.5","00:01:39"
"2026-01-16","265","247","425","0.8947368421052632","0.720754716981132","1.6037735849056605","00:01:47"
"2025-10-02","261","242","374","0.8966942148760331","0.7241379310344827","1.4329501915708813","00:02:10"
"2025-11-16","261","238","395","0.819327731092437","0.6819923371647509","1.5134099616858236","00:01:14"
"2025-11-02","259","242","355","0.9049586776859503","0.7876447876447876","1.3706563706563706","00:01:29"
"2025-11-03","259","249","357","0.8835341365461847","0.7220077220077221","1.3783783783783783","00:01:29"
"2026-01-17","259","237","364","0.8649789029535865","0.752895752895753","1.4054054054054055","00:01:50"
"2025-10-27","256","237","379","0.8481012658227847","0.75","1.48046875","00:01:46"
"2026-01-08","254","226","355","0.8628318584070798","0.7480314960629921","1.3976377952755905","00:01:48"
"2025-11-21","252","230","342","0.8739130434782608","0.7023809523809522","1.3571428571428572","00:01:18"
"2026-01-13","251","229","356","0.8078602620087336","0.7211155378486056","1.4183266932270917","00:01:40"
"2025-12-14","250","238","344","0.8949579831932774","0.784","1.376","00:01:01"
"2025-11-08","247","224","375","0.8705357142857143","0.6963562753036437","1.5182186234817814","00:01:38"
"2025-11-09","245","234","353","0.8846153846153846","0.7142857142857143","1.4408163265306122","00:01:56"
"2026-01-11","245","235","314","0.8851063829787233","0.7877551020408162","1.2816326530612245","00:01:08"
"2025-10-07","244","226","378","0.8451327433628318","0.7172131147540983","1.5491803278688525","00:01:38"
"2025-10-14","244","230","366","0.8391304347826087","0.6721311475409836","1.5","00:01:53"
"2025-12-07","244","230","340","0.9217391304347826","0.7049180327868853","1.3934426229508197","00:01:14"
"2025-10-22","239","227","320","0.8458149779735683","0.7573221757322176","1.3389121338912133","00:00:43"
"2026-01-10","238","223","321","0.8654708520179372","0.7394957983193278","1.3487394957983194","00:01:26"
"2025-10-20","237","214","393","0.8130841121495327","0.6751054852320675","1.6582278481012658","00:01:49"
"2026-01-18","237","214","349","0.9112149532710281","0.7088607594936708","1.4725738396624473","00:02:04"
"2025-11-10","235","217","370","0.8479262672811061","0.7191489361702128","1.574468085106383","00:01:29"
"2025-10-13","234","220","353","0.8090909090909091","0.7222222222222221","1.5085470085470085","00:00:59"
"2025-10-21","233","215","334","0.8418604651162791","0.7553648068669528","1.4334763948497855","00:01:14"
"2025-12-06","233","216","346","0.8564814814814815","0.6866952789699571","1.4849785407725322","00:01:45"
"2025-11-29","232","222","320","0.8603603603603603","0.75","1.3793103448275863","00:01:44"
"2025-11-28","231","216","343","0.9074074074074074","0.7186147186147186","1.4848484848484849","00:00:59"
"2025-10-17","230","208","340","0.826923076923077","0.7086956521739132","1.4782608695652173","00:02:03"
"2025-11-11","230","214","429","0.850467289719626","0.7217391304347827","1.8652173913043477","00:02:16"
"2025-10-15","226","205","310","0.8585365853658538","0.7831858407079646","1.3716814159292035","00:01:13"
"2025-10-18","226","208","310","0.8076923076923077","0.7389380530973452","1.3716814159292035","00:01:09"
"2025-11-14","224","210","312","0.8476190476190476","0.7678571428571429","1.3928571428571428","00:00:54"
"2025-12-05","223","197","356","0.8629441624365483","0.7085201793721975","1.5964125560538116","00:01:53"
"2025-10-08","222","204","314","0.8627450980392157","0.7207207207207208","1.4144144144144144","00:01:21"
"2025-11-07","222","204","322","0.8872549019607843","0.7207207207207208","1.4504504504504505","00:01:58"
"2025-11-12","222","202","357","0.806930693069307","0.6936936936936937","1.6081081081081081","00:02:01"
"2025-12-09","222","205","317","0.878048780487805","0.8018018018018018","1.427927927927928","00:00:35"
"2025-11-04","220","207","308","0.8647342995169082","0.7454545454545455","1.4","00:01:28"
"2025-10-16","218","202","321","0.8762376237623762","0.7155963302752294","1.4724770642201834","00:01:42"
"2025-11-15","216","204","301","0.8823529411764706","0.7407407407407408","1.3935185185185186","00:01:25"
"2025-12-24","216","197","339","0.9086294416243654","0.6944444444444444","1.5694444444444444","00:02:01"
"2025-11-05","214","202","273","0.886138613861386","0.7663551401869158","1.2757009345794392","00:00:39"
"2025-12-15","212","198","282","0.8939393939393939","0.7547169811320755","1.330188679245283","00:01:07"
"2025-12-26","211","195","360","0.8461538461538461","0.6777251184834124","1.7061611374407584","00:01:52"
"2025-11-06","209","193","291","0.8808290155440415","0.7177033492822966","1.3923444976076556","00:01:21"
"2025-12-16","209","197","285","0.8730964467005076","0.7464114832535885","1.3636363636363635","00:01:13"
"2025-12-17","206","192","274","0.828125","0.7766990291262136","1.3300970873786409","00:00:59"
"2026-01-19","206","189","295","0.8835978835978835","0.7524271844660194","1.4320388349514563","00:01:14"
"2026-01-22","206","195","270","0.8769230769230769","0.796116504854369","1.3106796116504855","00:00:59"
"2025-12-23","205","191","276","0.837696335078534","0.7414634146341463","1.3463414634146342","00:00:47"
"2025-10-03","203","189","304","0.8624338624338624","0.729064039408867","1.4975369458128078","00:01:12"
"2025-11-18","201","193","277","0.8290155440414507","0.7611940298507462","1.3781094527363185","00:01:38"
"2025-11-19","201","185","285","0.8108108108108109","0.7412935323383084","1.4179104477611941","00:01:10"
"2025-12-11","198","183","318","0.8306010928961749","0.6616161616161617","1.606060606060606","00:01:18"
"2026-01-14","198","177","263","0.8418079096045197","0.7828282828282829","1.3282828282828283","00:00:44"
"2026-01-15","195","173","312","0.815028901734104","0.7230769230769231","1.6","00:01:38"
